site_reference,name_address,hectares,planning_status,lon,lat
61804,"Land between Lichfield Street and Eastwood Road, Hanley, Stoke-on-Trent",4.74,permissioned,-2.1698620000000006,53.019731
63695,"Royal Doulton, Nile Street, Burslem",4.67,permissioned,-2.1923610000000013,53.04494199999999
428,"Royal Doulton, Nile Street, Burslem",4.67,not-permissioned,-2.1923610000000013,53.04494199999999
60432,"Former Churchill Pottery, off Waterloo Road, Hanley, Stoke on Trent",4.62,permissioned,-2.1832840000000004,53.034666
59600,"Former Dyson Thermal Technologies, Shelton New Road, Hartshill, Stoke-on-Trent, ST4 6EP",4.57,permissioned,-2.203264,53.012433999999985
0512,"Spode Works (residential element but full site area shown), Elenora Street, Stoke",4.07,not-permissioned,-2.184395,53.00518099999999
512,"Spode Works (residential element but full site area shown), Elenora Street, Stoke",4.07,not-permissioned,-2.184395,53.00518099999999
53237,"Former Trent Bathrooms, Leek Road, Hanley",3.9,permissioned,-2.1665090000000014,53.02033999999998
60831,"Former Dyson Thermal Technologies, Shelton New Road, Hartshill, Stoke-on-Trent, ST4 6EP",3.78,permissioned,-2.2032670000000003,53.012435
494,"School, Wellfield Road, Bentilee",3.59,not-permissioned,-2.133097,53.014825
0494,"School, Wellfield Road, Bentilee",3.59,not-permissioned,-2.133097,53.014825
0238,"Former Tuscan Works,Anchor Road,Longton,Stoke on Trent,ST3 1LL",3.08,not-permissioned,-2.129134,52.99128199999999
142,"California Business Park (employment element but full site area shown), Whieldon Road, Stoke",2.95,not-permissioned,-2.1805579999999996,52.994499999999995
0142,"California Business Park (employment element but full site area shown), Whieldon Road, Stoke",2.95,not-permissioned,-2.1805579999999996,52.994499999999995
0153,City Waterside,2.91,permissioned,-2.165912,53.023097
58689,City Waterside,2.91,permissioned,-2.165912,53.023097
159,"Cockshott Sidings, Shelton New Road, Cliffe Vale",2.9,not-permissioned,-2.1916000000000007,53.01381899999998
51841,"Land at, Central Outpatients/Central Pathology Laboratory, Thornburrow Drive Drive Hartshill Stoke-on-Trent",2.36,not-permissioned,-2.2065979999999996,53.007372999999994
294,"Land at, Bournes Bank and Woodbank Street, Burslem, Stoke on Trent",2.24,permissioned,-2.1971310000000006,53.043532
62102,"Land at Pyenest Street, Shelton, Stoke-on-Trent",2.15,not-permissioned,-2.1860009999999996,53.016351
0196,"Former Blythe and Sutherland Works,Sutherland Road, Longton",2.04,not-permissioned,-2.1258250000000003,52.985417
59223,"Minton Hollins (land) (employment), Shelton Old Road, Stoke",2.01,permissioned,-2.1878099999999994,53.009047
856,Foley Pottery,2.0,not-permissioned,-2.142758,52.992083
0201,"Former Co-op Bakery Site, Newport Lane, Middleport, Stoke-on-Trent",1.98,not-permissioned,-2.202516000000001,53.037536
65020,"Land at Former St. Peters High School, Queen''s Road, Hartshill, Stoke-on-Trent, ST4 7LH",1.98,permissioned,-2.201731000000001,53.003692
65451,"Former Co-op Bakery Site, Newport Lane, Middleport. Stoke-on-Trent",1.98,permissioned,-2.202516000000001,53.037536
201,"Former Co-op Bakery Site, Newport Lane, Middleport. Stoke-on-Trent",1.98,permissioned,-2.202516000000001,53.037536
0515,"St Peters High School, Queens Road, Penkhull",1.98,not-permissioned,-2.201731000000001,53.003692
59042,"Land at Former St. Peters High School, Queen's Road, Hartshill, Stoke-on-Trent, ST4 7LH",1.98,permissioned,-2.201731000000001,53.003692
238,"Former Tuscan Works, Anchor Road, Longton, Stoke on Trent ST3 1LL",1.94,pending-decision,-2.129134,52.99128199999999
66321,"Former Tuscan Works, Anchor Road, Longton, Stoke on Trent ST3 1LL",1.94,permissioned,-2.129134,52.99128199999999
63966,"Land at junction of Newport Lane and Furlong Lane, Burslem, Stoke-on-Trent",1.86,permissioned,-2.205128999999999,53.04211299999999
310,"Land at, junction of Newport Lane and Furlong Lane, Burslem Stoke-on-Trent",1.86,not-permissioned,-2.20513,53.04211300000001
0310,"Land at, junction of Newport Lane and Furlong Lane, Burslem Stoke-on-Trent",1.86,not-permissioned,-2.20513,53.04211300000001
53931,"Land at, junction of Newport Lane and Furlong Lane, Burslem Stoke-on-Trent",1.86,permissioned,-2.20513,53.04211300000001
0487,"Squires View, Shelton",1.85,not-permissioned,-2.1767480000000003,53.006297999999994
487,"Squires View, Shelton",1.85,not-permissioned,-2.1767480000000003,53.006297999999994
0483,"Johnson Matthey, Joiners Square",1.81,not-permissioned,-2.1704070000000004,53.01622599999999
44864,"Former Eagle Pottery, Ivy House Road",1.74,permissioned,-2.1622269999999997,53.02300300000001
48119,"Edinburgh House, YMCA, Harding Road, Hanley",1.51,permissioned,-2.1746050000000006,53.01787199999999
540,"Wade Factory, Hall Street, Burslem",1.43,not-permissioned,-2.2020920000000004,53.04616
311,"Land at, Junction of Park Hall Road and Anchor Road, Aderley Green, Stoke-on-Trent",1.41,not-permissioned,-2.1195470000000003,53.00000899999999
65663,"Land at, Junction of Park Hall Road and Anchor Road, Aderley Green, Stoke-on-Trent",1.41,permissioned,-2.1195470000000003,53.00000899999999
334,"Land at, Wilson Road, Hanford",1.36,not-permissioned,-2.190575,52.980875
62680,"Land at, Wilson Road, Hanford",1.36,permissioned,-2.190575,52.980875
59772,"Land at Bucknall New Road, Hanley, Stoke-on-Trent",1.32,permissioned,-2.1662049999999997,53.02470499999999
63095,"Former Workshops for the Blind, City Road, Fenton, Stoke-on-Trent ST4 2PL",1.31,permissioned,-2.1666339999999997,53.00059799999999
61688,"Land at Bucknall New Road, Hanley, Stoke-on-Trent",1.3,permissioned,-2.1662049999999997,53.02470499999999
56426,"E M R, Parkhall Works, Parkhall Road, Stoke-on-Trent, ST3 5AX",1.3,permissioned,-2.115705000000001,52.996208999999986
55314,"Former St Dominic's School, Hartshill Road, Stoke-on-Trent, ST4 7LY",1.28,permissioned,-2.1955130000000014,53.009415
60507,"Former St Dominic's School, Hartshill Road, Stoke-on-Trent, ST4 7LY",1.28,permissioned,-2.1955130000000014,53.009415
0704,"Land between Duncalf Street and Dain Street, Burslem",1.27,not-permissioned,-2.2036210000000005,53.042636
860,"Regent Works, Lawley Street, Stoke-on-Trent, ST3 1LZ",1.23,not-permissioned,-2.123427999999999,52.98468400000001
878,"Parkhall Works, Parkhall Road",1.22,not-permissioned,-2.115828,52.99620899999999
373,"Land off, Hawkins Street, Fenton",1.22,not-permissioned,-2.1715050000000002,52.998538
0160,"College land, Moorland Road, Burslem",1.22,not-permissioned,-2.1830510000000003,53.047202999999996
0373,"Land off, Hawkins Street, Fenton",1.22,not-permissioned,-2.1715050000000002,52.998538
0438,"Botteslow Street, Hanley",1.2,not-permissioned,-2.1643690000000007,53.020777
438,"Botteslow Street, Hanley",1.2,not-permissioned,-2.1643690000000007,53.020777
326,"Land at, Spa Street, Cobridge, Stoke on Trent, ST6 2LN",1.18,not-permissioned,-2.1784759999999994,53.04009899999999
678,"Wedgwood Hotelware Car Park, Forrister Street",1.14,not-permissioned,-2.127557,52.99098099999999
0469,"Potterycrafts Premises,Campbell Road,Stoke on Trent,Staffs. ST4 4ET",1.1,not-permissioned,-2.1859900000000003,52.99671699999999
469,"Potterycrafts Premises Campbell Road, Stoke on Trent Staffs. ST4 4ET",1.1,not-permissioned,-2.1859900000000003,52.99671699999999
61450,"Stoke-on-Trent, College Road",1.1,permissioned,-2.179781999999999,53.014976000000004
