bsi,ndvi
-0.27234,0.64563
0.01205,0.36924
-0.26729,0.63105
-0.01095,0.44005
-0.15734,0.54837
-0.25681,0.62071
-0.25283,0.6337
-0.2799,0.58812
0.0301,0.23815
-0.31015,0.61368
0.09234,0.09287
-0.1562,0.57329
-0.24326,0.61414
-0.30901,0.67553
-0.21245,0.59324
0.09572,0.12663
-0.11997,0.54781
-0.24274,0.62473
-0.03661,0.33401
-0.20658,0.53101
-0.33427,0.64579
0.13856,0.14828
-0.16894,0.51076
-0.19023,0.56517
-0.1024,0.55838
-0.16867,0.44507
-0.00748,0.26831
-0.24472,0.55535
-0.17117,0.56669
-0.24268,0.62153
-0.23846,0.6512
0.00715,0.21108
0.11366,0.10681
-0.06444,0.45304
-0.30809,0.64788
-0.02475,0.25927
